,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1761157,1,2018-12-07 03:45:19,2018-12-07 04:02:16,1,4.1,1,N,88,181,1,16.0,0.5,0.5,5.15,0.0,0.3,22.45
7579416,2,2018-12-29 04:39:07,2018-12-29 04:47:03,1,2.55,1,N,68,142,1,9.5,0.5,0.5,2.16,0.0,0.3,12.96
2401321,1,2018-12-09 03:13:26,2018-12-09 03:22:40,1,2.0,1,N,144,90,1,9.0,0.5,0.5,2.05,0.0,0.3,12.35
1099452,1,2018-12-04 21:25:14,2018-12-04 21:30:40,1,1.6,1,N,137,141,1,6.5,0.5,0.5,1.55,0.0,0.3,9.35
4722034,2,2018-12-17 06:18:17,2018-12-17 06:24:23,3,0.9,1,N,186,48,2,6.0,0.0,0.5,0.0,0.0,0.3,6.8
2325659,2,2018-12-08 21:28:56,2018-12-08 21:36:02,1,0.7,1,N,249,234,1,6.0,0.5,0.5,1.82,0.0,0.3,9.12
6746165,2,2018-12-24 16:19:26,2018-12-24 16:28:27,1,1.87,1,N,142,263,2,8.5,1.0,0.5,0.0,0.0,0.3,10.3
5044393,1,2018-12-18 09:23:10,2018-12-18 09:25:41,1,0.5,1,Y,230,163,1,4.0,0.0,0.5,1.0,0.0,0.3,5.8
1605868,2,2018-12-06 16:32:36,2018-12-06 16:40:09,6,0.64,1,N,236,237,2,6.5,1.0,0.5,0.0,0.0,0.3,8.3
7704270,2,2018-12-29 18:00:25,2018-12-29 18:06:32,4,1.64,1,N,142,238,1,7.0,0.0,0.5,1.56,0.0,0.3,9.36
