,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2857434,2,2018-12-10 20:04:24,2018-12-10 20:14:57,1,1.41,1,N,234,48,1,8.5,0.5,0.5,1.96,0.0,0.3,11.76
1986641,1,2018-12-07 20:28:18,2018-12-07 21:01:41,3,8.6,1,N,236,66,1,28.0,0.5,0.5,2.7,0.0,0.3,32.0
6142278,2,2018-12-21 21:08:45,2018-12-21 21:17:55,1,1.12,1,N,68,68,1,7.5,0.5,0.5,1.76,0.0,0.3,10.56
573334,1,2018-12-03 00:24:35,2018-12-03 00:33:18,1,2.6,1,N,48,238,1,10.0,0.5,0.5,2.25,0.0,0.3,13.55
4196778,2,2018-12-15 10:09:03,2018-12-15 10:18:05,1,1.71,1,N,163,236,1,8.0,0.0,0.5,1.76,0.0,0.3,10.56
1822084,2,2018-12-07 10:41:30,2018-12-07 10:55:46,2,1.77,1,N,236,162,1,10.5,0.0,0.5,2.26,0.0,0.3,13.56
7439432,2,2018-12-28 14:07:46,2018-12-28 14:16:23,5,2.28,1,N,263,74,1,8.5,0.0,0.5,2.32,0.0,0.3,11.62
6921358,2,2018-12-25 20:49:10,2018-12-25 20:52:05,2,0.62,1,N,236,236,1,4.5,0.5,0.5,1.16,0.0,0.3,6.96
3751268,1,2018-12-13 21:43:13,2018-12-13 21:51:29,1,2.1,1,N,237,238,1,8.5,0.5,0.5,1.95,0.0,0.3,11.75
1869194,1,2018-12-07 13:23:20,2018-12-07 13:52:17,1,10.4,1,N,161,138,1,33.0,0.0,0.5,7.2,0.0,0.3,41.0
1648965,2,2018-12-06 19:36:29,2018-12-06 19:46:59,1,1.53,1,N,43,239,1,9.0,1.0,0.5,1.3,0.0,0.3,12.1
