,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2787693,1,2018-12-10 17:47:00,2018-12-10 18:05:37,1,2.3,1,N,162,263,2,13.5,1.0,0.5,0.0,0.0,0.3,15.3
4590332,4,2018-12-16 14:48:10,2018-12-16 15:02:33,1,0.45,1,N,230,48,1,9.5,0.0,0.5,0.7,0.0,0.3,11.0
3946995,2,2018-12-14 14:33:19,2018-12-14 15:03:54,1,5.31,5,N,246,49,1,19.8,0.0,0.5,0.0,0.0,0.3,20.6
1123165,2,2018-12-04 23:06:27,2018-12-04 23:16:24,1,2.48,1,N,163,236,1,9.5,0.5,0.5,5.0,0.0,0.3,15.8
8113872,1,2018-12-31 19:06:36,2018-12-31 19:13:04,1,0.7,1,N,148,114,1,6.0,1.0,0.5,2.3,0.0,0.3,10.1
7047600,2,2018-12-26 16:25:25,2018-12-26 16:39:43,1,1.39,1,N,141,229,1,10.0,1.0,0.5,1.77,0.0,0.3,13.57
1149088,2,2018-12-05 05:45:54,2018-12-05 05:57:54,3,4.16,1,N,236,249,1,14.0,0.5,0.5,3.06,0.0,0.3,18.36
1160991,1,2018-12-05 07:02:05,2018-12-05 07:05:29,1,0.5,1,N,249,113,1,4.5,0.0,0.5,1.2,0.0,0.3,6.5
473804,2,2018-12-02 15:28:57,2018-12-02 15:46:30,1,2.25,1,N,142,263,1,13.0,0.0,0.5,2.76,0.0,0.3,16.56
3806427,2,2018-12-14 00:12:07,2018-12-14 00:12:22,3,0.0,5,N,249,249,1,48.0,0.0,0.5,12.2,0.0,0.3,61.0
2601051,1,2018-12-09 21:06:58,2018-12-09 21:13:24,4,1.2,1,N,239,142,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8
1679737,1,2018-12-06 20:01:51,2018-12-06 20:06:05,1,0.5,1,N,234,170,1,4.5,0.5,0.5,0.87,0.0,0.3,6.67
3087858,2,2018-12-11 18:48:47,2018-12-11 18:54:02,2,0.82,1,N,236,236,1,5.5,1.0,0.5,1.46,0.0,0.3,8.76
5156816,2,2018-12-18 17:10:11,2018-12-18 17:22:15,1,0.74,1,N,141,237,1,8.5,1.0,0.5,2.06,0.0,0.3,12.36
7956668,1,2018-12-30 23:09:01,2018-12-30 23:13:34,1,1.1,1,N,234,186,1,5.5,0.5,0.5,1.35,0.0,0.3,8.15
1543531,2,2018-12-06 11:59:19,2018-12-06 12:09:01,1,1.08,1,N,163,186,1,7.5,0.0,0.5,1.66,0.0,0.3,9.96
1149479,1,2018-12-05 05:43:38,2018-12-05 06:06:42,1,6.0,1,N,164,37,2,21.5,0.5,0.5,0.0,0.0,0.3,22.8
6184813,2,2018-12-22 00:22:30,2018-12-22 00:34:01,1,2.08,1,N,164,148,1,9.5,0.5,0.5,0.0,0.0,0.3,10.8
6138746,1,2018-12-21 20:21:56,2018-12-21 20:40:20,1,1.7,1,N,79,164,2,12.0,0.5,0.5,0.0,0.0,0.3,13.3
2851230,2,2018-12-10 20:41:15,2018-12-10 20:53:19,1,2.6,1,N,113,229,1,11.0,0.5,0.5,1.5,0.0,0.3,13.8
1604070,2,2018-12-06 16:24:32,2018-12-06 16:57:53,4,3.7,1,N,261,246,1,21.5,1.0,0.5,4.66,0.0,0.3,27.96
1488276,1,2018-12-06 08:59:46,2018-12-06 09:07:29,1,0.4,1,N,163,163,2,6.0,0.0,0.5,0.0,0.0,0.3,6.8
3537432,1,2018-12-13 08:16:14,2018-12-13 08:19:58,1,0.5,1,N,263,141,1,4.5,0.0,0.5,1.05,0.0,0.3,6.35
7525824,2,2018-12-28 21:36:37,2018-12-28 21:44:30,1,1.23,1,N,239,142,2,7.5,0.5,0.5,0.0,0.0,0.3,8.8
4839141,2,2018-12-17 15:26:57,2018-12-17 15:57:29,1,8.14,1,N,262,138,1,28.0,0.0,0.5,6.91,5.76,0.3,41.47
4833371,1,2018-12-17 15:59:10,2018-12-17 16:02:06,1,0.5,1,N,90,164,1,4.0,0.0,0.5,1.15,0.0,0.3,5.95
1216042,1,2018-12-05 10:50:48,2018-12-05 11:08:50,1,1.5,1,N,162,186,1,12.0,0.0,0.5,2.55,0.0,0.3,15.35
