,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
5981132,2,2018-12-21 10:05:41,2018-12-21 10:31:10,1,1.77,1,N,234,230,2,16.0,0.0,0.5,0.0,0.0,0.3,16.8
1621604,2,2018-12-06 17:58:39,2018-12-06 18:15:16,5,0.97,1,N,107,162,1,11.0,1.0,0.5,2.0,0.0,0.3,14.8
1364337,2,2018-12-05 20:36:21,2018-12-05 20:42:05,1,0.64,1,N,142,48,1,5.5,0.5,0.5,1.0,0.0,0.3,7.8
725491,1,2018-12-03 16:47:32,2018-12-03 16:52:12,1,0.6,1,N,233,229,1,5.0,1.0,0.5,1.0,0.0,0.3,7.8
1644961,1,2018-12-06 18:00:46,2018-12-06 18:20:40,1,1.9,1,N,231,113,1,13.0,1.0,0.5,2.0,0.0,0.3,16.8
1010672,2,2018-12-04 17:49:48,2018-12-04 17:59:49,1,1.17,1,N,249,79,2,8.0,1.0,0.5,0.0,0.0,0.3,9.8
770158,1,2018-12-03 19:26:03,2018-12-03 19:41:49,1,2.3,1,N,100,249,1,11.5,1.0,0.5,2.65,0.0,0.3,15.95
595564,2,2018-12-03 07:34:12,2018-12-03 07:42:10,2,1.84,1,N,125,68,1,8.0,0.0,0.5,1.0,0.0,0.3,9.8
7971187,2,2018-12-31 01:13:51,2018-12-31 01:26:20,5,3.29,1,N,186,232,1,13.0,0.5,0.5,2.86,0.0,0.3,17.16
7361635,1,2018-12-28 07:45:54,2018-12-28 07:57:00,2,1.6,1,N,230,237,1,9.0,0.0,0.5,1.95,0.0,0.3,11.75
1173928,2,2018-12-05 08:07:35,2018-12-05 08:19:47,2,1.83,1,N,113,170,1,9.5,0.0,0.5,1.03,0.0,0.3,11.33
3019368,2,2018-12-11 13:13:38,2018-12-11 13:34:34,1,1.07,1,N,137,186,1,13.0,0.0,0.5,1.0,0.0,0.3,14.8
7960724,2,2018-12-30 23:02:23,2018-12-30 23:06:49,1,0.7,1,N,114,114,1,5.0,0.5,0.5,1.26,0.0,0.3,7.56
4470041,2,2018-12-16 03:29:28,2018-12-16 03:33:42,2,0.73,1,N,90,90,1,5.0,0.5,0.5,1.26,0.0,0.3,7.56
2944161,2,2018-12-11 08:37:00,2018-12-11 08:42:19,1,0.83,1,N,170,234,1,5.5,0.0,0.5,1.26,0.0,0.3,7.56
2890432,2,2018-12-10 22:42:32,2018-12-10 23:21:11,2,11.38,1,N,186,62,1,37.0,0.5,0.5,7.66,0.0,0.3,45.96
74466,2,2018-12-01 09:13:35,2018-12-01 09:26:15,4,3.29,1,N,230,231,1,12.0,0.0,0.5,3.2,0.0,0.3,16.0
5917096,2,2018-12-21 04:09:56,2018-12-21 04:13:45,5,1.09,1,N,141,263,1,5.5,0.5,0.5,2.04,0.0,0.3,8.84
6437514,1,2018-12-23 00:46:05,2018-12-23 00:50:42,1,0.7,1,N,170,229,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3
5333035,4,2018-12-19 08:34:54,2018-12-19 08:38:02,1,0.52,1,N,141,262,2,4.0,0.0,0.5,0.0,0.0,0.3,4.8
7167603,2,2018-12-27 10:08:38,2018-12-27 10:15:13,1,1.94,1,N,140,233,2,8.5,0.0,0.5,0.0,0.0,0.3,9.3
1170681,2,2018-12-05 07:46:17,2018-12-05 07:52:30,1,0.81,1,N,170,186,1,6.0,0.0,0.5,1.36,0.0,0.3,8.16
4616124,2,2018-12-16 16:40:49,2018-12-16 16:47:31,1,0.93,1,N,162,229,1,6.0,0.0,0.5,1.7,0.0,0.3,8.5
2662900,2,2018-12-10 08:54:38,2018-12-10 09:09:54,1,1.35,1,N,237,161,1,11.0,0.0,0.5,2.95,0.0,0.3,14.75
3884367,2,2018-12-14 09:18:15,2018-12-14 09:36:41,2,2.32,1,N,186,125,2,13.0,0.0,0.5,0.0,0.0,0.3,13.8
7625769,2,2018-12-29 12:47:50,2018-12-29 12:57:57,1,1.86,1,N,161,113,2,9.0,0.0,0.5,0.0,0.0,0.3,9.8
4972269,1,2018-12-17 23:11:59,2018-12-17 23:14:30,1,0.6,1,N,237,229,1,4.5,0.5,0.5,1.15,0.0,0.3,6.95
2826836,2,2018-12-10 19:45:25,2018-12-10 19:56:24,1,1.29,1,N,161,141,2,8.5,1.0,0.5,0.0,0.0,0.3,10.3
1142794,2,2018-12-05 03:00:41,2018-12-05 03:05:36,5,0.8,1,N,229,161,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8
6723634,2,2018-12-24 15:40:41,2018-12-24 15:47:12,1,0.96,1,N,43,74,2,6.0,0.0,0.5,0.0,0.0,0.3,6.8
4896280,2,2018-12-17 18:45:16,2018-12-17 18:58:05,1,1.47,1,N,234,211,1,9.5,1.0,0.5,0.0,0.0,0.3,11.3
2028560,2,2018-12-07 22:15:10,2018-12-07 22:30:17,2,2.11,1,N,237,170,1,11.5,0.5,0.5,2.56,0.0,0.3,15.36
538415,1,2018-12-02 20:16:14,2018-12-02 20:19:28,1,0.7,1,N,170,107,1,4.5,0.5,0.5,1.4,0.0,0.3,7.2
3971372,1,2018-12-14 15:41:55,2018-12-14 15:51:21,1,1.0,1,N,238,236,1,7.5,1.0,0.5,1.4,0.0,0.3,10.7
5603207,2,2018-12-20 03:50:17,2018-12-20 03:55:44,1,1.36,1,N,48,142,1,6.5,0.5,0.5,1.95,0.0,0.3,9.75
6502956,1,2018-12-23 12:06:52,2018-12-23 12:16:06,1,1.5,1,N,236,161,1,8.5,0.0,0.5,0.7,0.0,0.3,10.0
5395539,2,2018-12-19 12:01:06,2018-12-19 12:25:06,1,3.7,1,N,170,13,2,17.0,0.0,0.5,0.0,0.0,0.3,17.8
3729395,2,2018-12-13 20:49:12,2018-12-13 21:20:38,1,8.23,1,N,48,244,1,29.5,0.5,0.5,7.7,0.0,0.3,38.5
7493757,2,2018-12-28 17:44:42,2018-12-28 18:03:42,1,2.88,1,N,163,236,2,14.0,1.0,0.5,0.0,0.0,0.3,15.8
4971922,1,2018-12-17 23:21:21,2018-12-17 23:25:09,1,1.2,1,N,143,239,1,5.5,0.5,0.5,1.0,0.0,0.3,7.8
1722004,1,2018-12-06 23:01:43,2018-12-06 23:15:24,1,2.2,1,N,141,137,3,11.0,0.5,0.5,0.0,0.0,0.3,12.3
4816989,2,2018-12-17 13:37:15,2018-12-17 13:45:04,1,0.6,1,N,236,263,1,6.5,0.0,0.5,1.46,0.0,0.3,8.76
477842,2,2018-12-02 14:58:57,2018-12-02 15:49:32,1,7.85,1,N,162,160,2,36.0,0.0,0.5,0.0,0.0,0.3,36.8
54526,1,2018-12-01 07:46:45,2018-12-01 07:54:47,1,1.4,1,Y,186,246,2,7.5,0.0,0.5,0.0,0.0,0.3,8.3
449217,1,2018-12-02 14:12:10,2018-12-02 14:23:20,1,1.3,1,N,234,211,1,8.5,0.0,0.5,1.85,0.0,0.3,11.15
1220502,2,2018-12-05 11:50:22,2018-12-05 11:59:26,1,0.59,1,N,162,164,1,7.0,0.0,0.5,1.56,0.0,0.3,9.36
