,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1609164,2,2018-12-06 16:34:56,2018-12-06 16:56:10,1,2.39,1,N,141,238,2,14.5,1.0,0.5,0.0,0.0,0.3,16.3
5334753,2,2018-12-19 08:20:02,2018-12-19 08:49:05,1,5.22,1,N,236,246,1,21.5,0.0,0.5,4.0,0.0,0.3,26.3
5329828,1,2018-12-19 08:51:47,2018-12-19 08:56:55,1,0.7,1,N,236,236,1,5.0,0.0,0.5,1.16,0.0,0.3,6.96
7896932,2,2018-12-30 17:53:20,2018-12-30 17:55:57,1,0.69,1,N,236,262,1,4.0,0.0,0.5,0.96,0.0,0.3,5.76
6037383,2,2018-12-21 14:37:26,2018-12-21 14:51:11,2,2.06,1,N,68,50,1,11.0,0.0,0.5,3.54,0.0,0.3,15.34
2492786,2,2018-12-09 13:32:59,2018-12-09 13:42:11,1,1.27,1,N,237,263,2,8.0,0.0,0.5,0.0,0.0,0.3,8.8
2998938,2,2018-12-11 12:05:29,2018-12-11 12:11:26,3,0.94,1,N,143,50,2,6.0,0.0,0.5,0.0,0.0,0.3,6.8
3897768,2,2018-12-14 10:04:30,2018-12-14 10:14:38,2,1.75,1,N,162,79,2,8.5,0.0,0.5,0.0,0.0,0.3,9.3
2995233,2,2018-12-11 11:43:34,2018-12-11 12:23:35,1,1.6,1,N,170,163,1,22.5,0.0,0.5,5.82,0.0,0.3,29.12
1971451,1,2018-12-07 19:26:52,2018-12-07 20:03:07,1,2.4,1,N,142,249,1,20.5,1.0,0.5,4.45,0.0,0.3,26.75
