,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2662417,2,2018-12-10 08:38:54,2018-12-10 08:58:45,1,2.76,1,N,234,237,1,14.5,0.0,0.5,3.06,0.0,0.3,18.36
6423167,2,2018-12-22 23:42:18,2018-12-23 00:11:40,3,8.96,1,N,114,42,1,29.0,0.5,0.5,3.0,0.0,0.3,33.3
1444738,2,2018-12-06 02:23:55,2018-12-06 02:26:09,1,0.6,1,N,231,87,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3
7052557,1,2018-12-26 17:32:07,2018-12-26 17:49:08,1,3.5,1,N,144,246,1,15.0,1.0,0.5,1.0,0.0,0.3,17.8
2800466,2,2018-12-10 17:41:22,2018-12-10 18:05:50,1,2.77,1,N,162,238,1,16.0,1.0,0.5,3.56,0.0,0.3,21.36
6453706,2,2018-12-23 03:18:41,2018-12-23 03:22:25,1,0.41,1,N,234,234,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8
2981647,1,2018-12-11 10:00:01,2018-12-11 10:31:06,1,7.7,1,N,236,88,2,27.5,0.0,0.5,0.0,0.0,0.3,28.3
3385218,2,2018-12-12 18:35:14,2018-12-12 18:56:05,4,0.81,1,N,237,43,2,12.5,1.0,0.5,0.0,0.0,0.3,14.3
4606183,1,2018-12-16 16:02:41,2018-12-16 16:13:06,1,1.4,1,N,261,125,1,8.5,0.0,0.5,1.85,0.0,0.3,11.15
84549,2,2018-12-01 10:21:34,2018-12-01 10:37:10,6,2.81,1,N,230,113,2,12.0,0.0,0.5,0.0,0.0,0.3,12.8
250251,2,2018-12-01 20:38:36,2018-12-01 20:41:39,1,0.48,1,N,263,140,1,4.0,0.5,0.5,1.06,0.0,0.3,6.36
7511508,1,2018-12-28 19:43:15,2018-12-28 20:17:42,3,4.1,1,N,163,231,2,22.0,1.0,0.5,0.0,0.0,0.3,23.8
4712489,1,2018-12-17 05:35:51,2018-12-17 05:40:40,1,0.5,1,N,48,68,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3
2431947,1,2018-12-09 09:55:54,2018-12-09 10:08:45,1,1.7,1,N,236,262,2,10.0,0.0,0.5,0.0,0.0,0.3,10.8
6483214,2,2018-12-23 10:28:46,2018-12-23 10:33:43,1,0.9,1,N,263,237,1,5.5,0.0,0.5,1.26,0.0,0.3,7.56
1881495,1,2018-12-07 14:52:35,2018-12-07 15:02:52,2,1.2,1,N,162,141,1,8.0,0.0,0.5,1.75,0.0,0.3,10.55
2881568,2,2018-12-10 22:00:45,2018-12-10 22:11:44,5,5.66,1,N,88,229,2,17.5,0.5,0.5,0.0,0.0,0.3,18.8
5637563,2,2018-12-20 08:17:15,2018-12-20 08:21:26,1,0.68,1,N,142,143,2,5.0,0.0,0.5,0.0,0.0,0.3,5.8
2127961,2,2018-12-08 09:05:52,2018-12-08 09:06:54,2,0.01,2,N,48,48,1,52.0,0.0,0.5,0.0,5.76,0.3,58.56
1687375,1,2018-12-06 21:58:16,2018-12-06 22:17:27,1,2.4,1,N,170,237,1,13.5,0.5,0.5,2.96,0.0,0.3,17.76
1261785,2,2018-12-05 13:14:08,2018-12-05 13:41:52,2,1.06,1,N,142,163,1,16.5,0.0,0.5,3.46,0.0,0.3,20.76
