,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2276061,1,2018-12-08 18:31:14,2018-12-08 19:05:46,1,2.5,1,N,211,68,1,20.5,0.0,0.5,3.2,0.0,0.3,24.5
6077635,2,2018-12-21 17:44:50,2018-12-21 17:52:04,1,0.78,1,N,237,141,1,6.5,1.0,0.5,1.0,0.0,0.3,9.3
4746960,2,2018-12-17 08:41:08,2018-12-17 09:31:03,2,16.6,2,N,161,132,1,52.0,0.0,0.5,14.64,5.76,0.3,73.2
4351361,2,2018-12-15 19:23:49,2018-12-15 19:40:47,1,2.87,1,N,137,237,1,12.5,0.0,0.5,2.66,0.0,0.3,15.96
1274462,2,2018-12-05 14:38:18,2018-12-05 14:43:03,1,0.48,1,N,237,237,1,5.0,0.0,0.5,1.16,0.0,0.3,6.96
4312148,1,2018-12-15 17:53:11,2018-12-15 18:01:19,1,1.0,1,N,164,161,1,7.0,0.0,0.5,2.3,0.0,0.3,10.1
5253141,2,2018-12-18 22:38:52,2018-12-18 22:45:37,5,1.1,1,N,230,246,1,6.5,0.5,0.5,1.95,0.0,0.3,9.75
6431178,2,2018-12-22 23:14:34,2018-12-22 23:25:16,1,0.9,1,N,100,164,2,8.0,0.5,0.5,0.0,0.0,0.3,9.3
3305835,1,2018-12-12 13:21:37,2018-12-12 13:36:16,1,1.7,1,N,142,238,1,10.5,0.0,0.5,2.26,0.0,0.3,13.56
5760744,1,2018-12-20 16:51:38,2018-12-20 18:22:18,1,10.2,1,N,229,197,1,54.5,1.0,0.5,8.44,0.0,0.3,64.74
5341742,2,2018-12-19 09:33:24,2018-12-19 09:45:44,1,1.83,1,N,211,234,1,9.5,0.0,0.5,2.06,0.0,0.3,12.36
2097370,2,2018-12-08 04:24:29,2018-12-08 04:36:22,1,3.48,1,N,229,211,1,12.5,0.5,0.5,2.2,0.0,0.3,16.0
5591170,2,2018-12-20 00:11:26,2018-12-20 00:18:24,1,0.81,1,N,161,230,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3
1786735,2,2018-12-07 07:35:44,2018-12-07 07:39:53,1,1.16,1,N,263,74,1,5.5,0.0,0.5,1.26,0.0,0.3,7.56
7658603,1,2018-12-29 14:02:40,2018-12-29 14:09:49,1,1.3,1,N,125,234,1,7.0,0.0,0.5,1.55,0.0,0.3,9.35
7417951,2,2018-12-28 12:29:58,2018-12-28 12:38:48,1,1.06,1,N,48,142,2,7.5,0.0,0.5,0.0,0.0,0.3,8.3
286811,2,2018-12-01 22:24:23,2018-12-01 22:34:55,1,1.1,1,N,234,79,1,8.0,0.5,0.5,2.32,0.0,0.3,11.62
4580002,2,2018-12-16 14:37:18,2018-12-16 14:45:27,3,0.78,1,N,151,238,1,6.5,0.0,0.5,3.0,0.0,0.3,12.25
401119,2,2018-12-02 10:20:40,2018-12-02 10:31:38,1,1.76,1,N,186,142,1,9.0,0.0,0.5,1.96,0.0,0.3,11.76
7795015,1,2018-12-30 03:23:50,2018-12-30 03:35:54,2,3.6,1,N,114,141,1,12.5,0.5,0.5,2.0,0.0,0.3,15.8
2071564,2,2018-12-08 01:03:07,2018-12-08 01:23:52,1,3.99,1,N,87,255,1,17.5,0.5,0.5,2.0,0.0,0.3,20.8
585689,1,2018-12-03 06:49:24,2018-12-03 06:52:46,1,1.0,1,N,162,237,1,5.0,0.0,0.5,0.5,0.0,0.3,6.3
2758399,2,2018-12-10 15:04:19,2018-12-10 15:11:18,1,1.11,1,N,144,107,1,7.0,0.0,0.5,1.17,0.0,0.3,8.97
2595781,2,2018-12-09 20:00:12,2018-12-09 20:05:46,1,0.86,1,N,90,170,1,6.0,0.0,0.5,1.36,0.0,0.3,8.16
2181313,2,2018-12-08 12:57:57,2018-12-08 13:07:09,2,1.95,1,N,161,236,2,9.0,0.0,0.5,0.0,0.0,0.3,9.8
609853,1,2018-12-03 08:39:25,2018-12-03 08:59:29,1,2.3,1,N,68,237,1,13.5,0.0,0.5,4.25,0.0,0.3,18.55
7606206,2,2018-12-29 10:01:41,2018-12-29 10:10:25,1,2.08,1,N,144,186,2,9.0,0.0,0.5,0.0,0.0,0.3,9.8
5509925,2,2018-12-19 19:28:36,2018-12-19 19:32:56,1,0.75,1,N,170,162,1,5.0,1.0,0.5,1.0,0.0,0.3,7.8
879132,2,2018-12-04 08:33:44,2018-12-04 08:43:41,1,2.05,1,N,100,125,1,9.0,0.0,0.5,1.96,0.0,0.3,11.76
4110131,2,2018-12-14 23:29:55,2018-12-14 23:31:56,1,0.48,1,N,79,79,1,3.5,0.5,0.5,0.96,0.0,0.3,5.76
5177109,2,2018-12-18 18:30:59,2018-12-18 18:55:34,1,2.17,1,N,233,186,1,15.5,1.0,0.5,4.32,0.0,0.3,21.62
7465092,2,2018-12-28 16:11:14,2018-12-28 16:20:27,1,1.46,1,N,239,236,1,8.0,1.0,0.5,1.47,0.0,0.3,11.27
4530397,1,2018-12-16 11:40:20,2018-12-16 11:49:00,4,0.8,1,N,100,246,2,7.0,0.0,0.5,0.0,0.0,0.3,7.8
1611376,2,2018-12-06 16:16:57,2018-12-06 16:23:45,1,0.66,1,N,236,262,2,5.5,1.0,0.5,0.0,0.0,0.3,7.3
2078278,2,2018-12-08 01:42:19,2018-12-08 01:59:13,1,3.96,1,N,164,145,1,15.5,0.5,0.5,1.2,0.0,0.3,18.0
1017753,2,2018-12-04 17:43:06,2018-12-04 17:48:23,1,1.12,1,N,236,237,1,6.0,1.0,0.5,1.56,0.0,0.3,9.36
1511775,1,2018-12-06 10:14:59,2018-12-06 10:30:29,1,1.2,1,N,143,163,1,10.5,0.0,0.5,2.25,0.0,0.3,13.55
7524193,1,2018-12-28 21:54:06,2018-12-28 22:05:58,2,2.2,1,N,211,246,1,9.5,0.5,0.5,2.0,0.0,0.3,12.8
2107957,1,2018-12-08 07:22:01,2018-12-08 07:25:52,2,0.9,1,N,48,48,2,5.0,0.0,0.5,0.0,0.0,0.3,5.8
7165227,2,2018-12-27 10:51:55,2018-12-27 11:04:40,1,2.32,1,N,239,166,1,11.5,0.0,0.5,0.0,0.0,0.3,12.3
6204338,2,2018-12-22 02:24:10,2018-12-22 02:41:16,1,3.95,1,N,170,238,1,15.0,0.5,0.5,1.9,0.0,0.3,18.2
7128667,2,2018-12-26 23:50:01,2018-12-26 23:52:31,1,0.79,1,N,74,75,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8
781966,1,2018-12-03 19:23:31,2018-12-03 19:39:52,2,1.3,1,N,142,230,2,11.0,1.0,0.5,0.0,0.0,0.3,12.8
2784356,1,2018-12-10 16:50:35,2018-12-10 16:59:10,1,1.1,1,N,236,237,1,7.5,1.0,0.5,1.85,0.0,0.3,11.15
1782928,2,2018-12-07 07:42:27,2018-12-07 07:46:45,1,0.48,1,N,230,48,1,4.5,0.0,0.5,1.32,0.0,0.3,6.62
7571960,2,2018-12-29 02:33:13,2018-12-29 02:54:08,1,9.27,1,N,148,95,1,28.5,0.5,0.5,5.96,0.0,0.3,35.76
5210193,2,2018-12-18 20:21:20,2018-12-18 20:37:33,1,2.31,1,N,79,162,1,12.0,0.5,0.5,2.66,0.0,0.3,15.96
588286,2,2018-12-03 06:03:25,2018-12-03 06:56:25,1,16.55,1,N,114,80,1,50.0,0.0,0.5,10.16,0.0,0.3,60.96
5875019,2,2018-12-20 22:45:24,2018-12-20 22:54:44,1,1.04,1,N,186,161,1,7.5,0.5,0.5,1.76,0.0,0.3,10.56
7341567,2,2018-12-28 00:31:57,2018-12-28 00:38:55,1,1.52,1,N,100,48,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3
1501745,2,2018-12-06 09:18:54,2018-12-06 09:34:03,1,0.09,1,N,233,233,1,9.5,0.0,0.5,1.2,0.0,0.3,11.5
3315496,4,2018-12-12 13:47:15,2018-12-12 13:55:51,1,0.61,1,N,161,161,1,6.5,0.0,0.5,1.46,0.0,0.3,8.76
6194028,2,2018-12-22 01:29:48,2018-12-22 01:36:18,2,1.03,1,N,161,100,1,6.0,0.5,0.5,1.46,0.0,0.3,8.76
3451032,1,2018-12-12 21:17:07,2018-12-12 21:26:28,1,1.7,1,N,125,107,2,8.5,0.5,0.5,0.0,0.0,0.3,9.8
6482212,1,2018-12-23 10:19:22,2018-12-23 10:31:05,1,2.2,1,N,239,140,1,10.5,0.0,0.5,1.0,0.0,0.3,12.3
5113525,2,2018-12-18 14:18:00,2018-12-18 14:21:34,3,0.53,1,N,236,236,1,4.5,0.0,0.5,1.06,0.0,0.3,6.36
5586621,1,2018-12-20 00:39:58,2018-12-20 00:46:36,1,1.0,1,N,230,90,1,6.5,0.5,0.5,1.55,0.0,0.3,9.35
565667,1,2018-12-02 22:39:41,2018-12-02 22:47:53,4,1.4,1,N,100,142,1,7.5,0.5,0.5,2.2,0.0,0.3,11.0
6210839,2,2018-12-22 03:21:07,2018-12-22 03:36:53,2,3.66,1,N,79,87,2,14.5,0.5,0.5,0.0,0.0,0.3,15.8
7488931,2,2018-12-28 17:21:22,2018-12-28 17:26:56,1,1.11,1,N,237,236,1,6.0,1.0,0.5,1.46,0.0,0.3,9.26
1155894,2,2018-12-05 06:43:41,2018-12-05 07:03:05,5,3.54,1,N,142,186,2,15.5,0.0,0.5,0.0,0.0,0.3,16.3
5429932,2,2018-12-19 14:53:08,2018-12-19 15:05:28,1,1.52,1,N,79,186,1,9.5,0.0,0.5,2.58,0.0,0.3,12.88
6072396,2,2018-12-21 16:58:40,2018-12-21 17:08:22,1,1.6,1,N,142,238,1,8.0,1.0,0.5,1.0,0.0,0.3,10.8
1083647,1,2018-12-04 21:20:04,2018-12-04 21:34:03,1,1.7,1,N,100,107,2,10.5,0.5,0.5,0.0,0.0,0.3,11.8
4425930,1,2018-12-16 00:13:29,2018-12-16 00:32:53,1,2.3,1,N,249,170,1,13.5,0.5,0.5,2.95,0.0,0.3,17.75
375538,1,2018-12-02 08:31:30,2018-12-02 08:35:15,1,1.1,1,N,237,236,1,5.5,0.0,0.5,1.26,0.0,0.3,7.56
3634454,2,2018-12-13 14:52:24,2018-12-13 15:08:46,5,1.59,1,N,114,68,2,11.5,0.0,0.5,0.0,0.0,0.3,12.3
3090058,2,2018-12-11 18:23:33,2018-12-11 18:32:32,2,1.0,1,N,263,236,2,7.0,1.0,0.5,0.0,0.0,0.3,8.8
5322177,1,2018-12-19 07:16:27,2018-12-19 07:27:07,1,1.1,1,N,186,137,1,8.0,0.0,0.5,2.6,0.0,0.3,11.4
