10
-74.0001571477779,40.714852900316174
-73.92171314515748,40.79212519336143
-74.0165598397186,40.70951578858551
-74.01029384016645,40.740126093314444
-74.04500510406193,40.689369052879954
-74.00272257194867,40.71093115042298
-73.9578337043934,40.77243994255298
-73.99116634887552,40.76251119949443
-73.9980501168172,40.74260370680194
-73.96838513530761,40.75923143797128
-73.97671109939355,40.75620018217545,14.805927999999998,38.56
-73.95097232514941,40.76894450494007,2.8002516,14.8
-74.01663857663607,40.715467366811154,4.345218,14.8
-74.00174043005522,40.734973008246236,5.552223000000001,16.56
-73.99269159774514,40.770656415562954,4.586619,17.16
-73.96457273217425,40.7726866935847,5.310822,23.75
-74.00593396598892,40.73643488416384,2.7680648,13.9
-73.9503636759912,40.77987500074277,3.942883,10.8
-73.99092704957033,40.76310129036828,2.1243288000000002,10.38
-73.98917790800893,40.75820032305104,2.1404222,8.3
6.4,10.4,1.9,2.0,6.0,9.3,2.6,11.5,5.5,5.2
9.4,5.4,17.6,14.2,9.9,6.6,14.5,4.3,10.4,10.6
8.7,12.8,0.6,4.0,8.3,11.6,3.7,13.8,7.8,7.5
5.2,9.2,3.0,1.4,4.8,8.1,0.8,10.3,4.3,4.0
13.7,17.8,5.6,9.0,13.3,16.6,8.7,18.9,12.8,12.5
7.1,11.1,2.0,2.3,6.6,9.9,2.7,12.2,6.1,5.9
3.6,1.1,11.8,8.3,4.0,0.8,8.7,1.5,4.5,4.8
2.2,5.1,7.2,3.7,0.9,3.9,4.0,6.1,0.1,0.6
3.6,7.7,4.6,1.1,3.2,6.5,1.4,8.7,2.7,2.4
1.2,2.8,9.4,5.9,3.8,1.7,6.3,3.9,2.9,2.4
