10
-73.92393015715083,40.79074522474957
-73.92009416484757,40.86077086000046
-73.98780280076463,40.76718571845813
-73.96217920105225,40.80451679880631
-73.94411066760206,40.823586139542606
-74.01489618892845,40.70227604762701
-74.0152436290008,40.70383302444462
-73.97365899051233,40.76569976605903
-73.95137446509858,40.80361004837852
-74.0158869380436,40.71825578624038
-73.99335838769849,40.73426568950076,0.6759227999999999,5.76
-73.93987438486306,40.79031907777886,5.9706513999999995,15.8
-74.0019646049326,40.727253790866236,4.9889540000000006,21.6
-73.96586301818049,40.77825657912355,2.4461968,10.56
-73.98595574976554,40.763146535123816,2.9933724,10.3
-73.98793151812816,40.74030612235804,1.7702740000000001,9.95
-73.99071497952887,40.75069400509331,1.2874720000000002,8.8
-73.99025011532657,40.738284914227314,1.5610598,9.3
-73.9891296279418,40.74677494624966,1.7702740000000001,12.95
-73.97420371123654,40.781084907701036,4.667085999999999,22.85
12.9,1.8,14.5,5.8,9.4,11.8,11.1,12.2,11.3,6.5
19.8,8.7,21.4,12.7,16.3,18.6,18.0,19.1,18.2,13.4
3.6,7.5,5.3,3.5,0.6,2.5,1.8,2.9,2.0,2.8
9.9,3.8,11.5,2.8,6.5,8.8,8.1,9.2,8.3,3.5
13.7,3.5,15.3,6.6,10.2,12.5,11.9,13.0,12.1,7.3
5.3,16.4,3.7,12.4,8.8,6.5,7.1,6.1,7.0,11.8
5.2,16.3,3.6,12.3,8.7,6.4,7.0,6.0,6.9,11.7
5.1,6.0,6.7,2.0,1.6,3.9,3.3,4.4,3.5,1.5
11.1,2.5,12.7,3.9,7.6,9.9,9.2,10.3,9.4,4.6
4.0,15.1,2.4,11.1,7.5,5.1,5.8,4.7,5.6,10.4
