10
-73.95250588227499,40.78069199639507
-73.98258917091403,40.72307646528019
-74.00886918180352,40.70414080910704
-73.97347492824645,40.79637253292888
-74.01576114121877,40.70625782423315
-73.98705543706173,40.75171861680837
-73.94731670808085,40.794505637752366
-73.93832221190944,40.781237353339115
-74.04157989916798,40.69732255707761
-73.98177654885379,40.78674697313791
-74.01050000997047,40.70568692161065,6.598293999999999,22.45
-73.99741026797214,40.74739288679573,4.103816999999999,12.96
-73.99528666807093,40.722392577161315,3.21868,12.35
-73.97626070973885,40.73990460356439,2.5749440000000003,9.35
-73.99450609874273,40.7493802452681,1.448406,6.8
-74.00688254319509,40.72952937255222,1.1265379999999998,9.12
-73.97947131239819,40.77597235341579,3.0094658,10.3
-73.9847654977109,40.755859979989374,0.80467,5.8
-73.9575500767993,40.78128160507121,1.0299776,8.3
-73.98363844211151,40.77033728187375,2.6393176,9.36
13.4,8.1,10.1,6.4,7.6,10.8,3.4,5.9,0.6,4.4
4.7,3.9,1.5,2.3,3.7,3.3,5.2,3.3,8.1,4.5
0.3,5.3,3.2,6.9,5.8,2.6,9.9,7.4,12.8,8.9
12.5,7.2,9.2,5.5,6.7,9.9,2.5,5.0,3.2,3.5
0.6,5.8,3.8,7.5,6.3,3.1,10.5,8.0,13.4,9.5
6.8,1.5,3.6,2.3,1.0,4.2,3.1,0.6,6.0,2.1
15.2,9.9,12.0,8.2,9.4,12.6,5.3,7.7,2.4,6.3
15.0,9.7,11.7,8.0,9.2,12.4,5.1,7.5,2.1,6.0
4.2,9.5,7.5,11.2,10.0,6.8,14.1,11.7,17.1,13.2
10.7,5.4,7.4,4.9,4.9,8.1,1.2,3.2,3.2,1.7
